srcIP,srcPort,dstIP,dstPort,protocol,ip_tos,ip_flags,ip_ttl,tcp_flag,tcp_window,first,second,third,fourth,fifth,mean,var,min,max,flowSize
215.52.141.200,32767,175.68.190.133,8545,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
223.239.74.34,6881,173.249.37.99,58324,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
25.31.79.30,80,146.55.105.100,64628,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
25.74.204.189,443,146.55.105.95,53938,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
26.120.121.242,443,162.67.238.164,38409,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
30.220.161.123,443,146.55.105.101,18780,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
30.220.161.87,443,146.55.105.99,56154,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
30.252.247.54,80,136.186.73.156,57763,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
34.223.208.227,443,175.242.126.12,55776,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
34.239.67.40,443,146.55.105.92,40568,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
35.81.36.252,443,45.170.72.158,45425,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
37.245.124.2,7777,175.73.250.3,63564,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
45.225.54.251,47118,30.239.0.115,443,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
45.227.253.244,52726,162.103.157.124,4291,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
45.46.183.52,443,203.24.251.159,27976,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
45.46.231.76,50406,203.24.248.85,2022,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
47.39.231.24,8000,175.84.140.102,34445,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
49.221.191.236,25545,66.35.161.128,443,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.100.112.16,443,175.69.90.136,51258,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.121.191.23,16700,175.84.156.51,18142,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
