srcPort,dstPort,protocol,ip_ihl,ip_tos,ip_flags,ip_ttl,tcp_dataofs,tcp_flag,tcp_window,udp_len,length,flowSize,srcAddr1,srcAddr2,srcAddr3,srcAddr4,dstAddr1,dstAddr2,dstAddr3,dstAddr4,SP0,SP1,DP0,DP1,tcp_window-0,tcp_window-1,udp_len-0,udp_len-1
6881,58324,1,5,0,0,64,0,0,0,8,28,28,223,239,74,34,173,249,37,99,26,225,227,212,0,0,0,8
443,56154,0,5,0,0,64,5,2,8192,0,40,80,30,220,161,87,146,55,105,99,1,187,219,90,32,0,0,0
80,49818,0,5,0,0,64,5,2,8192,0,40,40,91,71,4,161,171,199,191,51,0,80,194,154,32,0,0,0
443,51365,0,5,0,0,64,5,2,8192,0,40,40,213,13,166,60,175,73,180,41,1,187,200,165,32,0,0,0
443,50347,0,5,0,0,64,5,2,8192,0,40,40,178,22,254,74,161,80,83,183,1,187,196,171,32,0,0,0
53,38700,1,5,0,0,64,0,0,0,8,28,28,164,172,239,127,158,48,141,210,0,53,151,44,0,0,0,8
443,12817,0,5,0,0,64,5,2,8192,0,40,160,13,95,213,38,199,124,196,49,1,187,50,17,32,0,0,0
59495,60557,1,5,0,0,64,0,0,0,8,28,28,128,55,250,208,136,34,95,235,232,103,236,141,0,0,0,8
45713,59415,1,5,0,0,64,0,0,0,8,28,28,89,28,239,58,173,249,119,133,178,145,232,23,0,0,0,8
443,62019,0,5,0,0,64,5,2,8192,0,40,40,124,24,148,185,175,84,158,83,1,187,242,67,32,0,0,0
50406,2022,1,5,0,0,64,0,0,0,8,28,28,45,46,231,76,203,24,248,85,196,230,7,230,0,0,0,8
443,31156,0,5,0,0,64,5,2,8192,0,40,40,189,55,242,120,146,55,105,98,1,187,121,180,32,0,0,0
443,51258,0,5,0,0,64,5,2,8192,0,40,40,52,100,112,16,175,69,90,136,1,187,200,58,32,0,0,0
53,61560,1,5,0,0,64,0,0,0,8,28,28,94,21,84,159,158,48,141,194,0,53,240,120,0,0,0,8
49847,113,0,5,0,0,64,5,2,8192,0,40,40,169,221,13,230,171,168,25,181,194,183,0,113,32,0,0,0
443,42756,0,5,0,0,64,5,2,8192,0,40,40,75,196,96,184,175,70,223,239,1,187,167,4,32,0,0,0
